latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
20.39123,-103.72816,304.24,1.02,1.01,2025-03-25,0408,T,59,6.1NRT,286.89,6.9,N
20.37527,-103.97461,301.97,1.03,1.01,2025-03-25,0408,T,46,6.1NRT,279.24,7.39,N
20.43964,-103.65478,319.02,1.01,1.01,2025-03-25,0408,T,98,6.1NRT,289.93,17.98,N
20.4383,-103.66417,341.87,1.01,1.01,2025-03-25,0408,T,100,6.1NRT,291.01,48.47,N
20.2378,-105.33546,324.13,1.15,1.07,2025-03-25,0408,T,100,6.1NRT,294.22,27.21,N
20.23615,-105.34637,318.62,1.15,1.07,2025-03-25,0408,T,97,6.1NRT,292.47,20.66,N
20.24261,-105.46568,310.18,1.17,1.08,2025-03-25,0408,T,74,6.1NRT,291.04,11.87,N
20.24089,-105.47665,314.84,1.17,1.08,2025-03-25,0408,T,90,6.1NRT,291.68,16.47,N
20.25034,-105.47837,312.55,1.17,1.08,2025-03-25,0408,T,69,6.1NRT,291.28,13.82,N
20.26655,-105.43639,328.54,1.16,1.07,2025-03-25,0408,T,100,6.1NRT,291.08,33.87,N
20.26486,-105.44732,324.2,1.17,1.07,2025-03-25,0408,T,100,6.1NRT,292.23,26.39,N
20.26149,-105.46905,307.73,1.17,1.08,2025-03-25,0408,T,18,6.1NRT,290.96,8.78,N
20.27601,-105.43787,323.26,1.16,1.07,2025-03-25,0408,T,100,6.1NRT,293.35,24.71,N
20.27431,-105.44884,334.19,1.17,1.07,2025-03-25,0408,T,100,6.1NRT,296.17,40.42,N
20.27262,-105.45982,314.02,1.17,1.08,2025-03-25,0408,T,23,6.1NRT,292.35,12.28,N
20.28547,-105.43926,319.75,1.16,1.07,2025-03-25,0408,T,96,6.1NRT,293.56,19.72,N
20.28377,-105.45037,316.66,1.17,1.07,2025-03-25,0408,T,28,6.1NRT,293.51,14.93,N
20.28039,-105.4723,313.04,1.17,1.08,2025-03-25,0408,T,24,6.1NRT,292.19,10.96,N
20.55816,-103.66134,309.02,1.01,1.01,2025-03-25,0408,T,76,6.1NRT,285.96,10.96,N
20.29498,-105.44041,304.24,1.16,1.07,2025-03-25,0408,T,25,6.1NRT,292.15,6.17,N
20.28651,-105.49567,312.13,1.17,1.08,2025-03-25,0408,T,54,6.1NRT,292.4,12.09,N
20.30271,-105.45318,318.35,1.17,1.07,2025-03-25,0408,T,56,6.1NRT,293.44,18,N
20.30099,-105.46442,320.22,1.17,1.08,2025-03-25,0408,T,83,6.1NRT,294.03,20.24,N
20.29602,-105.49696,316.05,1.17,1.08,2025-03-25,0408,T,92,6.1NRT,292.25,16.95,N
